Age,AnnualIncome,LoanAmount,CreditScore,EmploymentType,YearsOfExperience,ExistingLoans,MaritalStatus,DefaultProbability,Default
53,111984,91310,583,Self-Employed,14,4,Married,100.0,1
30,21915,17612,654,Salaried,0,0,Single,83.99093054049683,1
60,158456,33643,684,Self-Employed,31,2,Single,22.854366163984455,0
20,3670,2269,382,Unemployed,0,3,Single,100.0,1
50,72022,18932,600,Self-Employed,6,3,Married,73.91712629235965,1
23,12405,8486,549,Salaried,2,1,Married,84.08459013528625,1
24,13702,8666,602,Student,0,0,Married,86.8238778596672,1
27,54137,53569,510,Salaried,7,2,Single,100.0,1
22,46403,24573,593,Salaried,0,3,Single,100.0,1
40,78873,55559,680,Salaried,7,0,Divorced,44.3717083831864,0
22,2099,5998,507,Student,0,2,Single,100.0,1
61,91887,26744,605,Salaried,6,1,Married,37.28875612047473,0
19,31333,13100,434,Salaried,0,4,Married,100.0,1
30,50818,14670,584,Self-Employed,4,3,Married,75.40070684980284,1
57,131930,11945,678,Self-Employed,22,3,Single,25.71958780249158,0
19,55291,20426,611,Salaried,0,2,Single,62.3332266614044,1
20,6475,2501,541,Student,0,4,Single,100.0,1
19,6209,9320,598,Student,0,0,Married,100.0,1
54,140995,88376,711,Salaried,20,1,Married,38.13828235740115,0
26,26948,10139,715,Salaried,6,0,Single,14.843340708488014,0
34,51163,41736,560,Salaried,10,2,Married,85.25505778107657,1
26,12000,4715,519,Salaried,0,3,Married,99.8245152893526,1
28,27545,10032,467,Salaried,0,3,Single,100.0,1
21,14380,6825,601,Student,0,0,Married,97.51046816792223,1
41,64946,16122,619,Self-Employed,0,1,Married,68.77140602650952,1
55,187884,44957,670,Salaried,34,2,Single,27.790359065010787,0
52,152734,56728,670,Salaried,26,1,Single,33.54061149075019,0
47,121063,59944,610,Salaried,18,2,Married,75.11113578044127,1
48,79435,25614,640,Salaried,10,1,Divorced,31.724004886894626,0
66,69237,33159,628,Salaried,4,0,Married,48.3621568700216,0
24,14427,6736,416,Student,0,4,Married,100.0,1
22,6189,2844,469,Student,0,2,Married,100.0,1
67,95376,64607,682,Salaried,9,0,Single,42.437749745559145,0
25,5343,1679,477,Student,0,3,Married,100.0,1
28,65212,47417,466,Salaried,6,3,Married,100.0,1
26,67649,17953,584,Self-Employed,4,1,Single,77.5893851741678,1
51,143544,69244,602,Salaried,28,3,Married,72.7919391794868,1
29,71608,39552,574,Salaried,4,4,Married,100.0,1
19,12239,8776,478,Student,0,2,Single,100.0,1
52,71922,20763,694,Salaried,11,1,Divorced,33.49603158444677,0
18,12000,3284,615,Self-Employed,0,2,Single,83.11022319609634,1
57,98764,38785,700,Salaried,12,2,Single,16.628903649370045,0
39,83718,47401,617,Salaried,7,0,Single,63.32610591535704,1
46,120521,107829,642,Salaried,14,3,Married,66.85181792057205,1
25,56531,41073,531,Salaried,4,2,Married,85.66615313235536,1
28,38729,17348,481,Self-Employed,0,4,Single,100.0,1
58,61046,7219,542,Salaried,0,4,Married,64.98414711727385,1
54,94089,27163,621,Self-Employed,10,3,Single,62.607824804593406,1
31,46251,22494,512,Self-Employed,9,3,Married,100.0,1
47,88816,25424,653,Self-Employed,10,1,Married,49.696130660984416,0
52,105677,56460,726,Salaried,21,1,Married,29.99332867424586,0
20,2407,6478,489,Student,0,1,Divorced,100.0,1
54,69438,44418,528,Salaried,5,3,Single,96.36184655906466,1
22,30513,23503,525,Salaried,2,2,Single,96.80343792392833,1
36,92575,41702,726,Salaried,7,0,Married,28.511291864833524,0
31,48320,16728,634,Salaried,4,1,Divorced,58.85072514560419,1
43,62651,43929,616,Salaried,9,0,Single,49.6503254949511,0
21,41922,10017,462,Self-Employed,1,4,Single,100.0,1
42,88396,43055,608,Salaried,15,3,Single,80.9879394996745,1
62,117829,33131,621,Salaried,16,4,Married,48.372138683999815,0
59,61386,36014,681,Self-Employed,8,1,Single,63.431906562847445,1
42,87395,42844,566,Salaried,9,2,Married,61.25536726107738,1
35,50969,37203,607,Salaried,3,1,Divorced,66.03273028234597,1
57,86671,52322,730,Salaried,13,0,Married,25.46993451516888,0
25,62093,49240,653,Self-Employed,5,1,Single,94.04324396805869,1
56,171927,25740,634,Salaried,25,2,Married,9.901080706345017,0
57,142261,2759,670,Salaried,28,2,Single,0.0,0
31,46764,20505,539,Salaried,0,3,Divorced,100.0,1
49,166748,49175,613,Self-Employed,29,3,Married,66.31603583922086,1
68,171082,40662,674,Self-Employed,26,2,Single,24.814284213948405,0
55,166106,120376,710,Self-Employed,24,2,Married,57.14392738880815,1
50,98944,65773,652,Salaried,15,0,Married,47.74527073024509,0
40,55385,36278,615,Salaried,3,1,Married,59.2991838895572,1
32,41173,26702,572,Salaried,1,3,Single,100.0,1
50,90264,65093,761,Salaried,15,0,Married,20.440419992039544,0
42,51081,12752,635,Salaried,0,1,Divorced,63.68122078507059,1
34,39363,34386,585,Salaried,2,3,Married,100.0,1
50,155053,11627,732,Salaried,22,0,Divorced,0.0,0
64,89103,30637,593,Self-Employed,10,4,Single,83.78842544575097,1
19,12000,2052,478,Salaried,0,4,Married,100.0,1
31,99910,90286,579,Self-Employed,9,3,Married,100.0,1
57,104536,10422,604,Salaried,17,0,Married,11.657895763464879,0
57,136000,83936,680,Salaried,28,1,Married,40.441816241360016,0
68,84812,34297,700,Salaried,4,1,Single,43.545525801463704,0
56,155887,78806,697,Salaried,23,0,Single,26.50191296131123,0
68,174060,77184,724,Salaried,28,4,Single,27.55943134771207,0
23,20423,16181,605,Salaried,0,0,Single,89.18872518027517,1
21,2854,9493,460,Student,0,4,Married,100.0,1
20,17919,10538,531,Self-Employed,0,4,Single,100.0,1
24,60146,28160,625,Salaried,1,1,Single,64.75553432889743,1
68,84404,70347,681,Self-Employed,2,3,Married,88.79967937517429,1
25,43106,26748,626,Self-Employed,1,2,Married,84.7359375735163,1
59,137568,122749,789,Self-Employed,24,0,Divorced,34.50400796491408,0
69,173570,52243,681,Self-Employed,18,4,Married,47.82589671392148,0
32,66078,27492,593,Salaried,7,0,Single,81.07583483804797,1
64,59172,10324,598,Salaried,1,3,Married,81.72049453270087,1
46,98488,26403,679,Salaried,18,3,Married,39.91134296435555,0
50,49497,9039,619,Salaried,0,2,Single,30.282019423540213,0
69,142135,89001,672,Salaried,26,2,Married,37.119699107370465,0
47,137133,75994,581,Salaried,21,4,Divorced,98.89434751979078,1
22,14393,6855,476,Student,0,2,Single,100.0,1
24,12721,3544,518,Student,0,4,Single,100.0,1
25,14493,3857,533,Student,0,1,Single,94.24963881489894,1
46,105126,38116,540,Self-Employed,19,4,Single,87.63043168694006,1
18,6991,2627,475,Student,0,2,Married,100.0,1
50,50442,5071,540,Salaried,2,0,Married,49.07442754653657,0
54,57040,34542,649,Salaried,4,2,Single,68.27569849885407,1
44,73203,30715,577,Salaried,5,3,Divorced,92.98334045167637,1
50,43949,20347,549,Self-Employed,3,2,Married,100.0,1
21,27064,9864,638,Salaried,0,1,Married,70.42436028669988,1
39,115596,65328,582,Self-Employed,15,4,Married,91.95502271578334,1
19,32743,2335,425,Salaried,0,3,Single,100.0,1
27,43074,32172,551,Salaried,6,4,Married,93.3923878211522,1
22,66637,27492,480,Self-Employed,1,4,Married,100.0,1
27,40500,5755,594,Salaried,2,2,Married,55.341687003206566,1
50,65244,29820,689,Salaried,1,0,Married,61.593793889891174,1
55,126536,29014,642,Salaried,14,3,Single,54.64796775899182,0
30,54862,30904,549,Salaried,1,1,Divorced,98.30762038841955,1
48,180003,83162,652,Self-Employed,28,1,Single,76.4683659085609,1
64,96190,54887,704,Salaried,9,0,Divorced,32.09008407608184,0
53,173409,107000,694,Salaried,31,0,Divorced,29.95196603200608,0
62,168403,43154,751,Salaried,30,2,Single,10.580780567537921,0
41,32166,13572,604,Self-Employed,4,1,Married,70.62748491213213,1
69,164841,51273,635,Salaried,27,3,Single,47.69827921349325,0
32,65109,9487,685,Self-Employed,5,0,Married,29.508408040000692,0
46,112493,50376,603,Self-Employed,13,0,Married,64.68642034826894,1
25,32180,25713,603,Salaried,1,0,Married,68.55020267014157,1
24,8934,5690,524,Student,0,3,Divorced,100.0,1
46,85863,67806,602,Self-Employed,15,1,Married,79.61666024618154,1
64,167968,81444,655,Salaried,24,3,Married,47.460617294086035,0
21,20867,7052,491,Salaried,0,3,Married,100.0,1
19,5500,1577,464,Student,0,2,Divorced,100.0,1
62,179464,60363,757,Self-Employed,33,0,Single,6.623087201744658,0
19,33414,6996,614,Salaried,0,1,Divorced,67.30584418752721,1
44,92244,25945,714,Salaried,18,2,Single,17.199566698540078,0
48,98161,53572,668,Self-Employed,7,2,Married,49.57920598145695,0
68,163286,116296,640,Self-Employed,24,4,Single,83.32881160707271,1
68,124631,37892,779,Self-Employed,15,0,Single,4.615770911216196,0
53,109816,75142,622,Salaried,17,1,Married,54.0200070728971,0
53,105776,46417,646,Self-Employed,12,1,Married,46.95643667784891,0
43,54885,47167,668,Salaried,4,1,Single,46.12605342305188,0
60,144741,89255,700,Salaried,26,0,Single,32.02172995828334,0
44,99021,51341,656,Self-Employed,1,1,Married,93.66862365381225,1
22,1003,7973,420,Unemployed,0,3,Divorced,100.0,1
37,16402,8057,533,Salaried,0,3,Single,100.0,1
28,48424,18385,620,Salaried,4,0,Single,55.28925618376765,1
27,12000,12557,596,Self-Employed,1,1,Married,100.0,1
57,100904,23416,606,Salaried,13,4,Single,58.67092769751131,1
55,143417,83089,653,Self-Employed,12,4,Married,90.5162404778273,1
23,62123,39489,542,Self-Employed,3,4,Married,100.0,1
25,12000,8519,513,Salaried,1,3,Married,100.0,1
40,3234,6764,427,Unemployed,6,4,Single,100.0,1
64,91360,15552,637,Self-Employed,15,1,Married,20.051412661360214,0
20,12590,5152,422,Student,0,1,Married,100.0,1
63,209691,152122,662,Self-Employed,30,4,Married,63.67247129264813,1
20,13430,4309,469,Student,0,2,Married,100.0,1
29,15518,4003,466,Salaried,0,4,Married,100.0,1
43,104501,55523,616,Salaried,20,2,Married,44.69833980256709,0
24,5669,7681,548,Student,0,0,Married,100.0,1
57,160156,106478,759,Salaried,28,0,Divorced,15.527313785519329,0
35,45127,14439,600,Salaried,7,1,Married,69.56594696962505,1
42,16524,11174,624,Self-Employed,0,3,Married,92.3104714253367,1
50,94767,85972,758,Self-Employed,29,1,Single,42.42298446088242,0
64,138680,80333,693,Salaried,18,1,Married,37.38345992033135,0
22,5865,9940,456,Student,0,3,Married,100.0,1
60,130970,70246,617,Self-Employed,20,1,Single,65.24285552564153,1
29,83539,4667,653,Salaried,8,3,Single,55.687140780537035,1
61,138570,39692,670,Self-Employed,22,1,Married,42.33219232290611,0
53,81239,5960,656,Salaried,10,0,Married,24.39975557297356,0
65,208494,63816,689,Salaried,32,2,Married,17.357613123188017,0
21,41717,20361,569,Salaried,1,1,Single,100.0,1
22,32044,8801,533,Salaried,0,2,Married,84.67754028934432,1
54,161753,110060,668,Salaried,25,4,Single,51.983743488266825,0
25,53648,16431,474,Self-Employed,3,1,Married,96.69045251618759,1
59,88659,25930,686,Self-Employed,11,0,Single,21.04681948975066,0
66,173102,119738,713,Salaried,31,3,Single,58.714169099576054,1
45,77566,64470,635,Self-Employed,0,0,Single,98.59589150460943,1
48,50617,33493,631,Salaried,9,2,Single,57.25704331237561,1
26,37579,5690,543,Salaried,3,3,Single,66.4349260549759,1
24,10470,6326,542,Student,0,0,Single,100.0,1
46,131145,61755,619,Salaried,18,0,Married,44.11975446914467,0
31,61301,53092,654,Salaried,5,0,Married,69.26138474145574,1
57,152829,172884,669,Self-Employed,26,3,Single,57.90698714697027,1
58,85434,74854,657,Salaried,4,0,Married,64.08853665470869,1
22,4341,9717,602,Student,0,0,Single,100.0,1
28,24609,8143,537,Salaried,1,2,Married,75.74154704290599,1
40,40186,32421,683,Salaried,2,0,Single,63.23227251563068,1
18,38973,21733,617,Salaried,0,0,Single,79.90455170591572,1
63,135196,66846,695,Salaried,21,4,Married,53.486830623487194,0
54,155441,54337,668,Salaried,33,3,Married,35.49813655564317,0
38,72941,17513,555,Salaried,3,4,Divorced,77.72177794424424,1
19,3128,4923,428,Student,0,2,Married,100.0,1
18,13819,2982,470,Student,0,4,Divorced,100.0,1
53,142577,86401,682,Salaried,25,1,Single,36.874090398898694,0
40,75980,20117,656,Salaried,9,3,Single,56.970177821498375,1
18,15877,2000,599,Salaried,0,0,Single,84.31807900853087,1
23,3284,9419,504,Student,0,4,Single,100.0,1
57,570,1873,542,Unemployed,32,4,Married,100.0,1
32,81023,27449,709,Salaried,12,0,Married,19.858740961865458,0
38,126875,38746,682,Self-Employed,10,0,Single,28.133181273591532,0
64,101680,101174,755,Salaried,13,2,Divorced,32.62280997941207,0
26,35976,30358,490,Salaried,6,4,Married,100.0,1
26,76390,40563,597,Salaried,6,4,Single,95.04903577464073,1
27,44767,32366,561,Salaried,1,1,Single,96.55835063211921,1
69,167207,103763,770,Salaried,23,1,Single,27.812097586972833,0
43,128220,46562,551,Salaried,20,4,Single,65.41606850267087,1
58,127586,78470,719,Self-Employed,7,1,Single,53.89529965219675,0
52,153027,66978,584,Salaried,31,4,Married,87.05710737658532,1
69,167970,147788,635,Salaried,30,3,Single,74.8442610405508,1
42,44712,25761,549,Salaried,1,2,Single,77.25161745580279,1
43,119214,76581,686,Salaried,22,1,Divorced,34.3709392988816,0
28,37494,16942,539,Salaried,8,4,Married,83.11559546976464,1
55,78051,43148,679,Salaried,6,1,Divorced,41.470734158798464,0
19,37666,26643,564,Salaried,0,2,Single,100.0,1
24,26592,14958,508,Salaried,2,3,Single,100.0,1
35,45894,36772,600,Salaried,6,0,Married,66.84707345218911,1
44,92760,64678,628,Salaried,14,0,Single,33.099779868955835,0
51,100513,59092,615,Self-Employed,7,1,Single,70.30590014892968,1
44,69407,34018,615,Self-Employed,13,4,Married,69.96080210660047,1
34,72829,42233,550,Salaried,0,2,Married,92.95875020151968,1
60,81112,54500,574,Salaried,12,3,Married,85.7692871542242,1
61,57839,14331,559,Salaried,2,3,Married,67.10782901536732,1
68,176511,67160,626,Salaried,27,3,Married,46.93330757095692,0
41,75412,11587,673,Salaried,5,0,Single,0.0,0
42,120399,74721,614,Salaried,18,2,Single,53.45938790477209,0
24,30018,11329,599,Salaried,3,0,Single,68.42905540091162,1
22,6540,6811,539,Student,0,1,Single,100.0,1
23,39366,31547,549,Salaried,2,3,Divorced,100.0,1
41,40555,27510,593,Salaried,2,2,Married,99.12413081287488,1
50,57716,28377,640,Salaried,3,3,Married,82.72793956533779,1
22,5421,2100,539,Student,0,0,Single,94.40855866384801,1
46,123781,133673,669,Self-Employed,17,0,Single,52.35040853222156,0
60,140415,103921,723,Salaried,25,0,Single,5.476094688290832,0
39,98544,90871,592,Self-Employed,9,3,Single,100.0,1
43,49326,11859,530,Salaried,7,2,Single,69.07328131299126,1
45,36532,46283,521,Self-Employed,11,2,Married,100.0,1
67,65367,35352,661,Self-Employed,2,1,Married,63.20956755238274,1
38,114463,38076,666,Salaried,17,3,Married,50.79296101748018,0
66,151788,104428,784,Self-Employed,22,1,Married,26.87853146093343,0
24,46159,22035,541,Salaried,1,1,Divorced,98.26761417140703,1
34,12000,7809,566,Salaried,0,1,Single,84.1340089310109,1
37,90432,55505,645,Salaried,13,1,Single,52.65082210249465,0
58,155346,137528,746,Self-Employed,22,0,Single,34.61202769884676,0
66,148138,71883,672,Salaried,30,1,Married,38.1623641956971,0
37,95130,58393,692,Salaried,12,2,Divorced,35.51118313483268,0
39,82512,19830,610,Self-Employed,11,1,Single,40.39061005498459,0
45,99670,50455,696,Salaried,2,0,Divorced,47.04904200205091,0
57,83041,40611,573,Salaried,17,4,Married,100.0,1
66,153936,140499,629,Salaried,20,4,Single,86.41368071158902,1
24,37887,13779,545,Salaried,4,4,Single,99.52803958772297,1
18,12000,4719,556,Salaried,0,3,Married,97.0460048086672,1
49,90895,49372,661,Salaried,14,2,Divorced,33.99005804625233,0
30,3630,9728,500,Unemployed,9,0,Single,100.0,1
47,77783,62037,509,Self-Employed,0,4,Married,100.0,1
40,56725,34800,766,Salaried,5,0,Single,27.900734957826536,0
68,99943,41652,728,Salaried,8,0,Married,20.32510328100971,0
36,90458,53827,545,Salaried,13,3,Married,85.70740527599384,1
49,74210,36815,613,Self-Employed,10,4,Married,81.71491117795769,1
47,79800,33928,605,Salaried,6,1,Married,64.46798411200722,1
46,96817,19091,768,Salaried,23,0,Married,0.0,0
19,9742,7135,448,Student,0,4,Divorced,100.0,1
62,177626,24004,791,Salaried,29,0,Single,0.0,0
46,44649,17850,571,Salaried,1,3,Married,93.6026994340647,1
23,13448,3145,431,Student,0,3,Single,100.0,1
33,65032,12922,572,Self-Employed,5,1,Married,73.11382971233098,1
57,69619,17177,570,Salaried,4,3,Married,84.22795323520968,1
36,119886,37963,548,Self-Employed,4,4,Married,100.0,1
35,92334,19135,594,Salaried,12,3,Married,80.41189369686748,1
18,68239,40766,486,Self-Employed,0,1,Divorced,100.0,1
31,54721,14883,591,Salaried,2,2,Single,66.06292692252343,1
68,161998,103155,663,Self-Employed,27,0,Married,27.44623562320939,0
64,1329,8930,605,Unemployed,25,0,Single,100.0,1
22,13920,8058,438,Student,0,4,Single,100.0,1
19,5329,7266,545,Student,0,1,Single,100.0,1
45,125650,17463,610,Salaried,22,1,Divorced,15.24136753958583,0
66,164090,61809,697,Salaried,29,1,Divorced,23.06128955935829,0
67,77583,22151,607,Salaried,2,0,Divorced,34.632440383338015,0
47,157557,33184,586,Self-Employed,27,3,Divorced,84.18506102789239,1
18,10301,3691,629,Student,0,0,Single,67.50177305582014,1
68,50622,33781,749,Salaried,2,0,Single,19.568354548379357,0
22,13110,9658,517,Student,0,0,Married,100.0,1
18,25490,16772,505,Self-Employed,0,3,Married,100.0,1
25,1160,9754,501,Unemployed,0,2,Married,100.0,1
20,14173,5520,475,Student,0,4,Single,100.0,1
56,54071,49995,593,Salaried,0,2,Married,99.04779877993592,1
20,24521,16847,477,Salaried,0,2,Married,100.0,1
49,67312,30779,706,Salaried,5,0,Single,47.793204529314416,0
27,40604,2000,545,Salaried,0,2,Married,67.44292784063813,1
27,75728,41416,564,Self-Employed,3,0,Married,81.07573253086439,1
36,49978,9723,634,Self-Employed,4,0,Married,30.264803245984755,0
20,14533,3205,456,Student,0,4,Single,100.0,1
51,68417,50149,622,Self-Employed,13,1,Married,67.18431765230261,1
50,66736,29269,673,Salaried,9,0,Single,41.3718962624106,0
40,42303,14591,578,Salaried,1,2,Single,84.53445763300815,1
45,76065,34576,616,Salaried,4,4,Married,83.79750957088862,1
49,64279,63341,573,Salaried,0,2,Married,100.0,1
67,163182,146715,691,Salaried,24,1,Single,62.89337083059457,1
24,18145,12513,559,Salaried,1,3,Married,100.0,1
46,131565,88696,788,Salaried,25,1,Married,15.965073586556873,0
25,49134,49783,625,Salaried,0,4,Married,100.0,1
18,12000,9269,595,Self-Employed,0,1,Married,100.0,1
20,19708,4503,554,Salaried,0,1,Married,75.37047518363556,1
41,120232,30448,562,Salaried,21,4,Married,80.22458634582183,1
40,45023,36301,522,Salaried,8,4,Single,100.0,1
25,2499,3265,403,Unemployed,2,2,Single,100.0,1
64,117232,13956,750,Salaried,14,0,Married,0.0,0
54,85549,62017,669,Salaried,3,3,Married,44.906847275964495,0
20,52873,32889,533,Self-Employed,0,3,Married,100.0,1
68,139552,30703,757,Salaried,19,3,Single,20.85782892321105,0
18,6230,1728,661,Student,0,1,Single,79.60274126019854,1
45,148419,165909,649,Salaried,22,4,Married,75.72721316005818,1
64,69531,18105,560,Salaried,7,4,Single,74.4560844140507,1
25,36975,17074,474,Salaried,0,4,Married,100.0,1
51,63017,2106,702,Self-Employed,4,0,Single,24.425125702298242,0
52,151130,75651,669,Salaried,32,4,Married,54.55237011091345,0
49,33254,11355,516,Salaried,0,4,Divorced,100.0,1
41,49982,37949,567,Salaried,6,1,Single,82.53103129319274,1
31,65886,15706,512,Salaried,5,2,Married,66.08408961623522,1
49,62799,23768,542,Salaried,4,3,Single,85.10748616695543,1
63,135784,56126,685,Self-Employed,14,1,Married,50.2144183050994,0
60,200216,198120,787,Self-Employed,20,1,Married,52.90985853772305,0
33,82232,42556,601,Salaried,13,1,Married,68.96691048214676,1
21,12000,8622,378,Salaried,0,3,Married,100.0,1
69,123374,26383,676,Self-Employed,16,1,Divorced,25.900439944191003,0
54,102986,46751,630,Salaried,6,2,Single,64.31438462594747,1
38,116801,8800,564,Salaried,17,4,Single,54.624840358946,0
31,64209,21438,471,Salaried,11,2,Divorced,81.73402055642313,1
48,144399,104000,596,Self-Employed,28,4,Married,100.0,1
20,8720,1760,527,Student,0,4,Divorced,100.0,1
35,73475,57005,603,Self-Employed,3,1,Married,59.26344603907282,1
24,52191,3829,564,Salaried,4,1,Married,52.999278185672665,0
27,44583,2809,510,Salaried,2,3,Married,81.6214759417469,1
19,7527,7750,572,Student,0,0,Married,100.0,1
50,132809,98015,589,Salaried,23,2,Divorced,68.8588398258489,1
40,3276,5654,428,Unemployed,10,3,Married,100.0,1
18,9465,4171,541,Student,0,3,Single,100.0,1
36,38414,29135,610,Salaried,0,2,Single,80.3064948104667,1
23,4719,5780,495,Student,0,2,Single,100.0,1
36,47824,26085,557,Salaried,7,4,Single,96.31396255668129,1
53,81944,74468,640,Self-Employed,1,0,Single,84.5406286302753,1
46,87959,78325,607,Salaried,14,1,Married,54.955541378697795,0
35,42739,44411,588,Salaried,4,0,Married,83.50716625849512,1
19,12000,5344,518,Self-Employed,0,0,Married,100.0,1
18,12000,5674,557,Self-Employed,0,1,Married,100.0,1
64,130367,75248,816,Salaried,23,0,Single,2.255297286329772,0
22,36624,20750,443,Salaried,1,3,Single,100.0,1
37,119459,57546,681,Salaried,16,3,Single,64.12345148783967,1
28,22549,4639,461,Salaried,3,1,Married,85.16502119434145,1
59,80684,23003,687,Salaried,8,1,Single,35.336213169374425,0
19,23339,12823,461,Salaried,0,2,Single,100.0,1
20,33568,18603,576,Salaried,0,2,Married,100.0,1
40,64424,38604,615,Salaried,2,0,Married,56.226118773625004,1
29,41909,11065,653,Salaried,3,0,Single,48.67158026585663,0
37,90143,18917,601,Salaried,17,1,Married,50.324457556713696,0
22,40371,31730,632,Salaried,1,0,Married,70.1567871504453,1
54,3165,1391,466,Unemployed,0,4,Married,100.0,1
55,110498,44393,681,Salaried,23,3,Divorced,52.61484287421163,0
25,14708,6318,570,Student,0,0,Single,100.0,1
26,82591,40889,650,Self-Employed,6,0,Single,71.05775885845954,1
51,101623,12777,642,Self-Employed,18,2,Divorced,34.40164598215447,0
61,147878,25530,672,Self-Employed,29,4,Married,39.230670357130364,0
52,99030,37459,732,Self-Employed,25,0,Married,19.14725677102571,0
69,175717,137298,688,Salaried,28,3,Married,68.5653452697405,1
39,83226,43442,583,Salaried,12,0,Married,61.27110920802838,1
61,90889,41878,629,Self-Employed,3,1,Divorced,69.92698886142742,1
41,110842,55702,616,Salaried,12,4,Divorced,58.93912109512133,1
34,21633,9413,547,Self-Employed,0,0,Married,91.27510604922814,1
27,34730,14239,481,Salaried,5,4,Single,100.0,1
47,33521,13533,615,Self-Employed,0,0,Divorced,72.77974115836406,1
63,43447,15351,587,Salaried,4,3,Single,92.52662321126859,1
40,95701,87028,578,Salaried,16,3,Single,91.1324813105507,1
49,122562,80100,601,Salaried,17,4,Divorced,69.25956086003194,1
34,65025,47509,544,Self-Employed,6,2,Single,85.44857596182727,1
25,10903,9984,487,Student,0,2,Single,100.0,1
68,76436,19580,755,Salaried,10,1,Single,6.635320692066028,0
34,53534,36474,648,Self-Employed,11,2,Divorced,75.06252805697433,1
31,52581,41735,553,Salaried,7,4,Married,100.0,1
26,43781,29968,595,Salaried,0,2,Married,95.98633026161309,1
57,88507,36014,678,Salaried,8,1,Single,45.920182698867784,0
19,32362,36654,597,Salaried,0,0,Married,94.87750846952403,1
62,148005,111760,644,Salaried,27,2,Married,53.055638301775915,0
42,53344,45820,612,Salaried,1,4,Single,99.22813575138298,1
56,100923,68161,680,Self-Employed,13,4,Married,65.27162140559066,1
26,74128,33424,585,Self-Employed,4,1,Single,100.0,1
39,104734,42948,697,Salaried,15,1,Divorced,34.86084118311655,0
60,64497,8187,586,Salaried,1,3,Married,69.21126035206716,1
63,59480,64861,571,Salaried,3,3,Divorced,100.0,1
21,34994,20785,509,Salaried,1,3,Single,100.0,1
43,101136,13890,659,Salaried,15,0,Married,8.316751025223832,0
46,80690,38803,595,Salaried,9,4,Married,81.97133449874612,1
20,8232,2884,471,Student,0,3,Married,100.0,1
51,55003,12828,599,Self-Employed,3,4,Divorced,98.58671004130616,1
40,47452,30251,581,Salaried,5,1,Single,84.78417907196187,1
54,133282,130845,709,Salaried,22,0,Single,55.00183616209711,1
28,37316,8444,539,Salaried,4,1,Married,69.50658848770586,1
23,38185,26485,449,Self-Employed,1,4,Married,100.0,1
35,38831,9312,568,Salaried,2,3,Married,84.7045231117341,1
38,46029,48181,615,Salaried,9,1,Single,65.48357841868061,1
59,136522,25615,650,Self-Employed,18,2,Married,55.13076939525074,1
53,98963,34247,648,Salaried,13,0,Single,29.446344301446885,0
58,146940,145275,574,Salaried,20,4,Married,99.4062407347343,1
55,151497,109927,665,Salaried,27,3,Married,59.23437864055516,1
51,133139,87613,651,Salaried,20,1,Married,64.19974292776979,1
34,36010,41538,697,Salaried,3,0,Single,54.419880155392015,0
54,139505,108093,649,Salaried,23,3,Married,86.0088246522539,1
42,129828,47710,691,Salaried,21,1,Single,22.11189957720517,0
55,118945,102526,668,Salaried,16,4,Single,61.412052483671864,1
29,50636,29851,538,Self-Employed,5,2,Married,100.0,1
40,110856,35261,648,Salaried,18,2,Divorced,49.84228556702958,0
59,98641,45438,621,Salaried,9,4,Single,55.02094986170689,1
39,111834,36147,653,Self-Employed,10,0,Married,38.83728389318949,0
38,49472,18677,469,Self-Employed,5,4,Divorced,100.0,1
44,26379,18611,511,Self-Employed,1,1,Married,100.0,1
48,36530,32191,604,Salaried,0,0,Single,90.78854477117564,1
23,38181,21258,609,Salaried,2,2,Divorced,70.9227228363108,1
44,103409,109775,619,Self-Employed,15,1,Single,84.23665791324494,1
57,195882,97339,722,Self-Employed,34,3,Single,30.570790540994313,0
51,77861,51649,565,Salaried,4,3,Single,90.39150252556301,1
24,9013,3697,500,Student,0,3,Married,100.0,1
62,136522,117014,700,Salaried,22,2,Single,53.355071701827214,0
24,383,1094,474,Unemployed,3,4,Single,100.0,1
25,14148,5291,556,Student,0,0,Single,92.67110177862773,1
62,177764,244958,672,Self-Employed,25,2,Married,73.05076750530405,1
18,4850,9204,447,Student,0,1,Divorced,100.0,1
43,104665,41194,634,Self-Employed,16,1,Single,61.22854333636347,1
38,110481,73194,749,Salaried,14,3,Divorced,40.79283504961954,0
45,68870,17449,650,Salaried,4,0,Divorced,64.67094107118672,1
63,77211,13415,553,Salaried,3,3,Married,66.21395856575222,1
19,24146,7099,562,Salaried,0,1,Single,81.96910981712541,1
60,136484,32417,731,Self-Employed,21,1,Married,15.712045729988043,0
18,29961,7702,469,Salaried,0,4,Divorced,100.0,1
68,118069,81174,575,Salaried,16,4,Married,83.68384548430423,1
53,143188,102585,731,Salaried,21,4,Single,17.51305211873364,0
18,9506,8008,507,Student,0,3,Married,100.0,1
43,103693,27038,748,Salaried,13,0,Married,0.0,0
46,105439,7143,567,Salaried,13,4,Married,64.12779968973105,1
38,111925,61530,706,Salaried,16,2,Single,31.031367761888013,0
28,74019,44585,580,Self-Employed,7,4,Single,100.0,1
57,165799,102807,685,Salaried,33,3,Married,38.22924917585959,0
28,77917,24653,586,Self-Employed,5,0,Divorced,74.31842739039038,1
53,95459,104578,556,Salaried,15,4,Single,100.0,1
66,191171,33046,786,Salaried,29,0,Divorced,0.0,0
25,9987,1203,510,Student,0,2,Single,84.63804831492217,1
